"Name","Version","License","URL"
"Django","4.1.4","BSD License","https://www.djangoproject.com/"
"anyio","3.6.2","MIT License","UNKNOWN"
"asgiref","3.6.0","BSD License","https://github.com/django/asgiref/"
"boto","2.49.0","MIT License","https://github.com/boto/boto/"
"boto3","1.26.41","Apache Software License","https://github.com/boto/boto3"
"botocore","1.29.41","Apache Software License","https://github.com/boto/botocore"
"certifi","2022.12.7","Mozilla Public License 2.0 (MPL 2.0)","https://github.com/certifi/python-certifi"
"cffi","1.15.1","MIT License","http://cffi.readthedocs.org"
"cryptography","38.0.4","Apache Software License; BSD License","https://github.com/pyca/cryptography"
"django-appconf","1.0.5","BSD License","https://django-appconf.readthedocs.io/"
"django-cryptography","1.1","BSD License","https://github.com/georgemarshall/django-cryptography"
"django_debug_toolbar","3.8.1","BSD License","UNKNOWN"
"djangorestframework","3.14.0","BSD License","https://www.django-rest-framework.org/"
"gunicorn","20.1.0","MIT License","https://gunicorn.org"
"h11","0.14.0","MIT License","https://github.com/python-hyper/h11"
"httpcore","0.16.3","BSD License","https://github.com/encode/httpcore"
"httpx","0.23.1","BSD License","UNKNOWN"
"idna","3.4","BSD License","UNKNOWN"
"jmespath","1.0.1","MIT License","https://github.com/jmespath/jmespath.py"
"psycopg2","2.9.5","GNU Library or Lesser General Public License (LGPL)","https://psycopg.org/"
"pycparser","2.21","BSD License","https://github.com/eliben/pycparser"
"pydantic","1.10.4","MIT License","https://github.com/pydantic/pydantic"
"python-dateutil","2.8.2","Apache Software License; BSD License","https://github.com/dateutil/dateutil"
"python-decouple","3.6","MIT License","http://github.com/henriquebastos/python-decouple/"
"python-lorem","1.2.0","BSD License","https://github.com/JarryShaw/lorem"
"pytz","2022.7","MIT License","http://pythonhosted.org/pytz"
"rfc3986","1.5.0","Apache Software License","http://rfc3986.readthedocs.io"
"s3transfer","0.6.0","Apache Software License","https://github.com/boto/s3transfer"
"six","1.16.0","MIT License","https://github.com/benjaminp/six"
"sniffio","1.3.0","Apache Software License; MIT License","https://github.com/python-trio/sniffio"
"sqlparse","0.4.3","BSD License","https://github.com/andialbrecht/sqlparse"
"typing_extensions","4.4.0","Python Software Foundation License","UNKNOWN"
"urllib3","1.26.13","MIT License","https://urllib3.readthedocs.io/"
"whitenoise","6.2.0","MIT License","https://github.com/evansd/whitenoise"
